name,issn
Human Resource Management Journal,1748-8583
Hydrological Processes,1099-1085
Hypatia,1527-2001
IDS Bulletin,1759-5436
IDS Practice Papers,2040-0225
IDS Research Reports,2040-0217
IDS Working Papers,2040-0209
IEEJ Transactions on Electrical and Electronic Engineering,1931-4981
INCOSE International Symposium,2334-5837
INSIGHT,2156-4868
IPPR Progressive Review,2573-2331
ISBT Science Series,1751-2824
IUBMB Life,1521-6551
Ibis,1474-919X
Imaging Decisions MRI,1617-0830
"Immunity, Inflammation and Disease",2050-4527
ImmunoMedicine,2510-5345
Immunological Reviews,1600-065X
Immunology,1365-2567
Immunology & Cell Biology,1440-1711
Impact,2048-416X
In Session: Psychotherapy in Practice,1520-6572
Indoor Air,1600-0668
Industrial Relations Journal,1468-2338
Industrial Relations: A Journal of Economy and Society,1468-232X
Industrial and Organizational Psychology,1754-9434
Infancy,1532-7078
Infant Mental Health Journal,1097-0355
Infant and Child Development,1522-7219
Infectious Diseases in Obstetrics and Gynecology,1098-0997
Inflammatory Bowel Diseases,1536-4844
Influenza and Other Respiratory Viruses,1750-2659
Information Systems Journal,1365-2575
Information Technology for Development,1554-0170
Insect Conservation and Diversity,1752-4598
Insect Molecular Biology,1365-2583
Insect Science,1744-7917
Inside the Cell,2375-2920
Integrated Environmental Assessment and Management,1551-3793
"Integrative Biology: Issues, News, and Reviews",1520-6602
Integrative Zoology,1749-4877
"Intelligent Systems in Accounting, Finance and Management",1099-1174
Internal Medicine Journal,1445-5994
International Affairs,1468-2346
International Dental Journal,1875-595X
International Economic Review,1468-2354
International Endodontic Journal,1365-2591
International Finance,1468-2362
International Forum of Allergy & Rhinology,2042-6984
International Insolvency Review,1099-1107
International Journal for Numerical Methods in Biomedical Engineering,2040-7947
International Journal for Numerical Methods in Engineering,1097-0207
International Journal for Numerical Methods in Fluids,1097-0363
International Journal for Numerical and Analytical Methods in Geomechanics,1096-9853
International Journal of Adaptive Control and Signal Processing,1099-1115
International Journal of Advertising,0265-0487
International Journal of Andrology,1365-2605
International Journal of Applied Ceramic Technology,1744-7402
International Journal of Applied Glass Science,2041-1294
International Journal of Applied Linguistics,1473-4192
International Journal of Applied Psychoanalytic Studies,1556-9187
International Journal of Art & Design Education,1476-8070
International Journal of Auditing,1099-1123
International Journal of Cancer,1097-0215
International Journal of Chemical Kinetics,1097-4601
International Journal of Circuit Theory and Applications,1097-007X
International Journal of Climatology,1097-0088
International Journal of Clinical Practice,1742-1241
International Journal of Communication Systems,1099-1131
International Journal of Consumer Studies,1470-6431
International Journal of Cosmetic Science,1468-2494
International Journal of Dairy Technology,1471-0307
International Journal of Dental Hygiene,1601-5037
International Journal of Dermatology,1365-4632
International Journal of Eating Disorders,1098-108X
International Journal of Economic Theory,1742-7363
International Journal of Energy Research,1099-114X
International Journal of Evidence-Based Healthcare,1744-1609
International Journal of Experimental Pathology,1365-2613
International Journal of Finance & Economics,1099-1158
International Journal of Food Science & Technology,1365-2621
International Journal of Geriatric Psychiatry,1099-1166
International Journal of Gynecological Cancer,1525-1438
International Journal of Gynecology & Obstetrics,1879-3479
International Journal of Human Factors in Manufacturing,1522-7111
International Journal of Imaging Systems and Technology,1098-1098
International Journal of Immunogenetics,1744-313X
International Journal of Intelligent Systems,1098-111X
International Journal of Intensive Short-Term Dynamic Psychotherapy,1099-1182
International Journal of Japanese Sociology,1475-6781
International Journal of Laboratory Hematology,1751-553X
International Journal of Language & Communication Disorders,1460-6984
International Journal of Management Reviews,1468-2370
International Journal of Mental Health Nursing,1447-0349
International Journal of Methods in Psychiatric Research,1557-0657
International Journal of Nautical Archaeology,1095-9270
International Journal of Network Management,1099-1190
International Journal of Nonprofit and Voluntary Sector Marketing,1479-103X
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",1099-1204
International Journal of Nursing Knowledge,2047-3095
International Journal of Nursing Practice,1440-172X
International Journal of Older People Nursing,1748-3743
International Journal of Oral & Maxillofacial Surgery,1399-0020
International Journal of Osteoarchaeology,1099-1212
International Journal of Paediatric Dentistry,1365-263X
International Journal of Pharmacy Practice,2042-7174
International Journal of Psychology,1464-066X
International Journal of Quantum Chemistry,1097-461X
International Journal of RF and Microwave Computer-Aided Engineering,1099-047X
International Journal of Rheumatic Diseases,1756-185X
International Journal of Robust and Nonlinear Control,1099-1239
International Journal of Satellite Communications and Networking,1542-0981
International Journal of Selection and Assessment,1468-2389
International Journal of Social Welfare,1468-2397
International Journal of Stroke,1747-4949
International Journal of Systematic Theology,1468-2400
International Journal of Tourism Research,1522-1970
International Journal of Training and Development,1468-2419
International Journal of Urban and Regional Research,1468-2427
International Journal of Urological Nursing,1749-771X
International Journal of Urology,1442-2042
International Labour Review,1564-913X
International Migration,1468-2435
International Migration Review,1747-7379
International Nursing Review,1466-7657
International Political Sociology,1749-5687
International Review of Finance,1468-2443
International Review of Hydrobiology,1522-2632
International Review of Mission,1758-6631
International Social Science Journal,1468-2451
International Social Security Review,1468-246X
International Statistical Review,1751-5823
International Studies Perspectives,1528-3585
International Studies Quarterly,1468-2478
International Studies Review,1468-2486
International Transactions in Operational Research,1475-3995
International Transactions on Electrical Energy Systems,2050-7038
International Wound Journal,1742-481X
International Zoo Yearbook,1748-1090
Internationale Revue für Soziale Sicherheit,1752-1726
Internet Technology Letters,2476-1508
Invertebrate Biology,1744-7410
Irrigation and Drainage,1531-0361
Island Arc,1440-1738
Israel Journal of Chemistry,1869-5868
JACCP: Journal of the American College of Clinical Pharmacy,2574-9870
JAWRA Journal of the American Water Resources Association,1752-1688
JBI Reports,1479-6988
JBMR Plus,2473-4039
JCMS: Journal of Common Market Studies,1468-5965
JDDG: Journal der Deutschen Dermatologischen Gesellschaft,1610-0387
JGH Open,2397-9070
JOR Spine,2572-1143
Japan Architectural Review,2475-8876
Japan Journal of Nursing Science,1742-7924
Japanese Psychological Research,1468-5884
Journal - American Water Works Association,1551-8833
Journal for Eighteenth-Century Studies,1754-0208
Journal for Healthcare Quality,1945-1474
Journal for Specialists in Pediatric Nursing,1744-6155
Journal for the Scientific Study of Religion,1468-5906
Journal for the Theory of Social Behaviour,1468-5914
Journal für Ornithologie,1439-0361
Journal of Accounting Research,1475-679X
Journal of Addictions & Offender Counseling,2161-1874
Journal of Adolescent & Adult Literacy,1936-2706
Journal of Advanced Nursing,1365-2648
Journal of Advanced Transportation,2042-3195
Journal of Advances in Modeling Earth Systems,1942-2466
Journal of Agrarian Change,1471-0366
Journal of Agricultural Economics,1477-9552
Journal of Agronomy and Crop Science,1439-037X
Journal of Analytical Psychology,1468-5922
Journal of Anatomy,1469-7580
Journal of Andrology,1939-4640
Journal of Animal Breeding and Genetics,1439-0388
Journal of Animal Ecology,1365-2656
Journal of Animal Physiology and Animal Nutrition,1439-0396
Journal of Applied Behavior Analysis,1938-3703
Journal of Applied Biobehavioral Research,1751-9861
Journal of Applied Biomaterials,1549-9316
Journal of Applied Clinical Medical Physics,1526-9914
Journal of Applied Corporate Finance,1745-6622
Journal of Applied Crystallography,1600-5767
Journal of Applied Ecology,1365-2664
Journal of Applied Econometrics,1099-1255
Journal of Applied Entomology,1439-0418
Journal of Applied Ichthyology,1439-0426
Journal of Applied Microbiology,1365-2672
Journal of Applied Philosophy,1468-5930
Journal of Applied Polymer Science,1097-4628
Journal of Applied Research in Intellectual Disabilities,1468-3148
Journal of Applied Social Psychology,1559-1816
Journal of Applied Toxicology,1099-1263
Journal of Aquatic Animal Health,1548-8667
Journal of Architectural Education,1531-314X
Journal of Arrhythmia,1883-2148
Journal of Avian Biology,1600-048X
Journal of Basic Microbiology,1521-4028
Journal of Behavioral Decision Making,1099-0771
Journal of Biochemical and Molecular Toxicology,1099-0461
Journal of Biogeography,1365-2699
Journal of Biomedical Materials Research Part A,1552-4965
Journal of Biomedical Materials Research Part B: Applied Biomaterials,1552-4981
Journal of Biophotonics,1864-0648
Journal of Bone and Mineral Research,1523-4681
Journal of Business Finance & Accounting,1468-5957
Journal of Business Logistics,2158-1592
"Journal of Cachexia, Sarcopenia and Muscle",2190-6009
Journal of Cardiac Surgery,1540-8191
Journal of Cardiovascular Electrophysiology,1540-8167
Journal of Cellular Biochemistry,1097-4644
Journal of Cellular Physiology,1097-4652
Journal of Cellular and Molecular Medicine,1582-4934
Journal of Chemical Technology and Biotechnology,1097-4660
Journal of Chemometrics,1099-128X
Journal of Child Psychology and Psychiatry,1469-7610
Journal of Child and Adolescent Psychiatric Nursing,1744-6171
Journal of Chinese Philosophy,1540-6253
Journal of Clinical Apheresis,1098-1101
Journal of Clinical Laboratory Analysis,1098-2825
Journal of Clinical Nursing,1365-2702
Journal of Clinical Periodontology,1600-051X
Journal of Clinical Pharmacy and Therapeutics,1365-2710
Journal of Clinical Psychology,1097-4679
Journal of Clinical Ultrasound,1097-0096
Journal of College Counseling,2161-1882
Journal of Combinatorial Designs,1520-6610
Journal of Communication,1460-2466
Journal of Community & Applied Social Psychology,1099-1298
Journal of Community Psychology,1520-6629
Journal of Comparative Neurology,1096-9861
Journal of Computational Chemistry,1096-987X
Journal of Computer Assisted Learning,1365-2729
Journal of Computer-Mediated Communication,1083-6101
Journal of Consumer Affairs,1745-6606
Journal of Consumer Behaviour,1479-1838
Journal of Consumer Psychology,1532-7663
Journal of Contemporary Water Research & Education,1936-704X
Journal of Contingencies and Crisis Management,1468-5973
Journal of Continuing Education in the Health Professions,1554-558X
Journal of Corporate Accounting & Finance,1097-0053
Journal of Cosmetic Dermatology,1473-2165
Journal of Counseling & Development,1556-6676
Journal of Cutaneous Immunology and Allergy,2574-4593
Journal of Cutaneous Pathology,1600-0560
Journal of Diabetes,1753-0407
Journal of Diabetes Investigation,2040-1124
Journal of Digestive Diseases,1751-2980
Journal of Ecology,1365-2745
Journal of Economic Surveys,1467-6419
Journal of Economics & Management Strategy,1530-9134
Journal of Educational Measurement,1745-3984
Journal of Empirical Legal Studies,1740-1461
Journal of Employment Counseling,2161-1920
Journal of Engineering Education,2168-9830
Journal of Environmental Medicine,1099-1301
Journal of Environmental Policy and Planning,1522-7200
Journal of Esthetic and Restorative Dentistry,1708-8240
Journal of Eukaryotic Microbiology,1550-7408
Journal of Evaluation in Clinical Practice,1365-2753
Journal of Evidence-Based Medicine,1756-5391
Journal of Evolutionary Biology,1420-9101
Journal of Experimental Therapeutics and Oncology,1533-869X
Journal of Experimental Zoology Part A: Ecological and Integrative Physiology,2471-5646
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,1552-5015
Journal of Family Theory & Review,1756-2589
Journal of Family Therapy,1467-6427
Journal of Field Ornithology,1557-9263
Journal of Field Robotics,1556-4967
Journal of Financial Research,1475-6803
Journal of Fish Biology,1095-8649
Journal of Fish Diseases,1365-2761
Journal of Flood Risk Management,1753-318X
Journal of Food Biochemistry,1745-4514
Journal of Food Lipids,1745-4522
Journal of Food Process Engineering,1745-4530
Journal of Food Processing and Preservation,1745-4549
Journal of Food Quality,1745-4557
Journal of Food Safety,1745-4565
Journal of Food Science,1750-3841
Journal of Food Science Education,1541-4329
Journal of Foodservice,1748-0159
Journal of Forecasting,1099-131X
Journal of Forensic Nursing,1939-3938
Journal of Forensic Sciences,1556-4029
Journal of Futures Markets,1096-9934
Journal of Gastroenterology and Hepatology,1440-1746
Journal of General Internal Medicine,1525-1497
Journal of General and Family Medicine,2189-7948
Journal of Geophysical Research,2156-2202
Journal of Geophysical Research: Atmospheres,2169-8996
Journal of Geophysical Research: Biogeosciences,2169-8961
Journal of Geophysical Research: Earth Surface,2169-9011
Journal of Geophysical Research: Oceans,2169-9291
Journal of Geophysical Research: Planets,2169-9100
Journal of Geophysical Research: Solid Earth,2169-9356
Journal of Geophysical Research: Space Physics,2169-9402
Journal of Graph Theory,1097-0118
Journal of Healthcare Risk Management,2040-0861
Journal of Hepato-Biliary-Pancreatic Sciences,1868-6982
Journal of Heterocyclic Chemistry,1943-5193
Journal of Historical Sociology,1467-6443
Journal of Hospital Medicine,1553-5606
Journal of Human Nutrition and Dietetics,1365-277X
Journal of Image Guided Surgery,1522-712X
Journal of Industrial Ecology,1530-9290
Journal of Integrative Plant Biology,1744-7909
Journal of Intellectual Disability Research,1365-2788
Journal of Intensive Care Medicine,1525-1489
Journal of Interactive Marketing,1520-6653
Journal of Interdisciplinary Nanomedicine,2058-3273
Journal of Interior Design,1939-1668
Journal of Internal Medicine,1365-2796
Journal of International Development,1099-1328
Journal of International Financial Management & Accounting,1467-646X
Journal of Interventional Cardiology,1540-8183
Journal of Investigative Psychology and Offender Profiling,1544-4767
Journal of Investigative and Clinical Dentistry,2041-1626
Journal of Labelled Compounds and Radiopharmaceuticals,1099-1344
Journal of Labor and Society,2471-4607
Journal of Law and Society,1467-6478
Journal of Leadership Studies,1935-262X
Journal of Legal Studies Education,1744-1722
Journal of Leukocyte Biology,1938-3673
Journal of Linguistic Anthropology,1548-1395
Journal of Lower Genital Tract Disease,1526-0976
Journal of Magnetic Resonance Imaging,1522-2586
Journal of Management Studies,1467-6486
Journal of Marital and Family Therapy,1752-0606
Journal of Marriage and Family,1741-3737
Journal of Mass Spectrometry,1096-9888
Journal of Medical Imaging and Radiation Oncology,1754-9485
Journal of Medical Primatology,1600-0684
Journal of Medical Radiation Sciences,2051-3909
Journal of Medical Virology,1096-9071
Journal of Metamorphic Geology,1525-1314
Journal of Microcolumn Separations,1520-667X
Journal of Microscopy,1365-2818
Journal of Midwifery & Womens Health,1542-2011
Journal of Molecular Recognition,1099-1352
"Journal of Money, Credit and Banking",1538-4616
Journal of Morphology,1097-4687
Journal of Multi-Criteria Decision Analysis,1099-1360
Journal of Multicultural Counseling and Development,2161-1912
Journal of Muscle Foods,1745-4573
Journal of Neurochemistry,1471-4159
Journal of Neuroendocrinology,1365-2826
Journal of Neuroimaging,1552-6569
Journal of Neuropsychology,1748-6653
Journal of Neuroscience Research,1097-4547
Journal of Nursing Management,1365-2834
Journal of Nursing Scholarship,1547-5069
Journal of Nursing and Healthcare of Chronic Illness,1752-9824
"Journal of Obstetric, Gynecologic, & Neonatal Nursing",1552-6909
Journal of Obstetrics and Gynaecology Research,1447-0756
Journal of Occupational and Organizational Psychology,2044-8325
Journal of Oral Pathology & Medicine,1600-0714
Journal of Oral Rehabilitation,1365-2842
Journal of Organizational Behavior,1099-1379
Journal of Orthopaedic Research®,1554-527X
Journal of Paediatrics and Child Health,1440-1754
Journal of Parenteral and Enteral Nutrition,1941-2444
Journal of Peptide Science,1099-1387
Journal of Periodontal Research,1600-0765
Journal of Periodontology,1943-3670
Journal of Personality,1467-6494
Journal of Petroleum Geology,1747-5457
Journal of Pharmaceutical Health Services Research,1759-8893
Journal of Pharmaceutical Sciences,1520-6017
Journal of Pharmacy Practice and Research,2055-2335
Journal of Philosophy of Education,1467-9752
Journal of Phycology,1529-8817
Journal of Physical Organic Chemistry,1099-1395
Journal of Phytopathology,1439-0434
Journal of Pineal Research,1600-079X
Journal of Plant Nutrition and Soil Science,1522-2624
Journal of Policy Analysis and Management,1520-6688
Journal of Policy and Practice in Intellectual Disabilities,1741-1130
Journal of Political Philosophy,1467-9760
Journal of Politics,1468-2508
Journal of Polymer Science Part A: Polymer Chemistry,1099-0518
Journal of Polymer Science Part B: Polymer Physics,1099-0488
Journal of Polymer Science Part C: Polymer Letters,1543-0472
Journal of Polymer Science: Macromolecular Reviews,1543-0480
Journal of Polymer Science: Polymer Symposia,1936-0959
Journal of Popular Music Studies,1533-1598
Journal of Porphyrins and Phthalocyanines,1099-1409
Journal of Product Innovation Management,1540-5885
Journal of Prosthodontics,1532-849X
Journal of Psychiatric and Mental Health Nursing,1365-2850
Journal of Psychological Issues in Organizational Culture,2041-8426
Journal of Public Affairs,1479-1854
Journal of Public Economic Theory,1467-9779
Journal of Public Health Dentistry,1752-7325
Journal of Quality in Clinical Practice,1440-1762
Journal of Quaternary Science,1099-1417
Journal of Raman Spectroscopy,1097-4555
Journal of Rapid Methods & Automation in Microbiology,1745-4581
Journal of Regional Science,1467-9787
Journal of Religious Ethics,1467-9795
Journal of Religious History,1467-9809
Journal of Renal Care,1755-6686
Journal of Research in Reading,1467-9817
Journal of Research in Science Teaching,1098-2736
Journal of Research in Special Educational Needs,1471-3802
Journal of Research on Adolescence,1532-7795
Journal of Risk and Insurance,1539-6975
Journal of Scheduling,1099-1425
Journal of School Health,1746-1561
Journal of Sensory Studies,1745-459X
Journal of Separation Science,1615-9314
Journal of Sleep Research,1365-2869
Journal of Small Animal Practice,1748-5827
Journal of Small Business Management,1540-627X
Journal of Social Issues,1540-4560
Journal of Social Philosophy,1467-9833
Journal of Sociolinguistics,1467-9841
Journal of Software: Evolution and Process,2047-7481
Journal of Supply Chain Management,1745-493X
Journal of Supreme Court History,1540-5818
Journal of Surfactants and Detergents,1558-9293
Journal of Surgical Oncology,1096-9098
Journal of Synchrotron Radiation,1600-5775
Journal of Systematics and Evolution,1759-6831
Journal of Texture Studies,1745-4603
Journal of The Historical Society,1540-5923
Journal of Theoretical Social Psychology,2475-0387
Journal of Thrombosis and Haemostasis,1538-7836
Journal of Time Series Analysis,1467-9892
Journal of Tissue Engineering and Regenerative Medicine,1932-7005
Journal of Topology,1753-8424
Journal of Traumatic Stress,1573-6598
Journal of Travel Medicine,1708-8305
Journal of Ultrasound in Medicine,1550-9613
Journal of Urban Affairs,1467-9906
Journal of Vector Ecology,1948-7134
Journal of Vegetation Science,1654-1103
Journal of Veterinary Emergency and Critical Care,1476-4431
Journal of Veterinary Internal Medicine,1939-1676
Journal of Veterinary Pharmacology and Therapeutics,1365-2885
Journal of Vinyl and Additive Technology,1548-0585
Journal of Viral Hepatitis,1365-2893
Journal of Zoological Systematics and Evolutionary Research,1439-0469
Journal of Zoology,1469-7998
Journal of the American Association of Nurse Practitioners,2327-6924
Journal of the American Ceramic Society,1551-2916
Journal of the American Geriatrics Society,1532-5415
Journal of the American Heart Association Cardiovascular and Cerebrovascular Disease,2047-9980
Journal of the American Oil Chemists' Society,1558-9331
Journal of the Association for Information Science and Technology,2330-1643
Journal of the CardioMetabolic Syndrome,1559-4572
Journal of the Chinese Chemical Society,2192-6549
Journal of the European Academy of Dermatology and Venereology,1468-3083
Journal of the European Economic Association,1542-4774
Journal of the Experimental Analysis of Behavior,1938-3711
Journal of the History of the Behavioral Sciences,1520-6696
Journal of the Institute of Brewing,2050-0416
Journal of the International AIDS Society,1758-2652
Journal of the London Mathematical Society,1469-7750
Journal of the Peripheral Nervous System,1529-8027
Journal of the Royal Anthropological Institute,1467-9655
Journal of the Royal Statistical Society: Series A (Statistics in Society),1467-985X
Journal of the Royal Statistical Society: Series B (Statistical Methodology),1467-9868
Journal of the Royal Statistical Society: Series C (Applied Statistics),1467-9876
Journal of the Royal Statistical Society: Series D (The Statistician),1467-9884
Journal of the Science of Food and Agriculture,1097-0010
Journal of the Society for Information Display,1938-3657
Journal of the Society for the Anthropology of Europe,1556-5823
Journal of the World Aquaculture Society,1749-7345
Juvenile and Family Court Journal,1755-6988
Knowledge and Process Management,1099-1441
Kyklos,1467-6435
LABOUR,1467-9914
LUTS: Lower Urinary Tract Symptoms,1757-5672
Laboratoriums Medizin,1439-0477
Laboratory Robotics and Automation,1098-2728
Lakes & Reservoirs: Research & Management,1440-1770
Land Degradation & Development,1099-145X
Language Learning,1467-9922
Language and Linguistics Compass,1749-818X
Laryngoscope Investigative Otolaryngology,2378-8038
Laser & Photonics Reviews,1863-8899
Laser Physics Letters,1612-202X
Laser Technik Journal,1863-9119
Lasers in Surgery and Medicine,1096-9101
Latin American Policy,2041-7373
Latin American Politics and Society,1548-2456
Law & Policy,1467-9930
Law & Social Inquiry,1747-4469
Law & Society Review,1540-5893
Leader to Leader,1531-5355
Leadership in Action,1532-1088
Learned Publishing,1741-4857
Learning Disabilities Research & Practice,1540-5826
Learning Health Systems,2379-6146
Learning in Health and Social Care,1473-6861
Lebensmittelchemie,1521-3811
Legal Studies,1748-121X
Legal and Criminological Psychology,2044-8333
Legislative Studies Quarterly,1939-9162
Lethaia,1502-3931
Letters in Applied Microbiology,1472-765X
Leviathan,1750-1849
Limnology and Oceanography,1939-5590
Limnology and Oceanography Bulletin,1539-6088
Limnology and Oceanography Letters,2378-2242
Limnology and Oceanography e-Lectures,2164-0254
Limnology and Oceanography: Fluids and Environments,2157-3689
Limnology and Oceanography: Methods,1541-5856
Lipid Technology,1863-5377
Lipids,1558-9307
Literacy,1741-4369
Literature Compass,1741-4113
Liver International,1478-3231
Liver Transplantation,1527-6473
Livestock,2044-3870
London Business School Review,2057-1615
Lubrication Science,1557-6833
Luminescence,1522-7243
Macromolecular Bioscience,1616-5195
Macromolecular Chemistry and Physics,1521-3935
Macromolecular Materials and Engineering,1439-2054
Macromolecular Rapid Communications,1521-3927
Macromolecular Reaction Engineering,1862-8338
Macromolecular Theory and Simulations,1521-3919
Magnetic Resonance in Chemistry,1097-458X
Magnetic Resonance in Medicine,1522-2594
Makromolekulare Chemie. Supplementband,1521-3900
Mammal Review,1365-2907
Management Report for Nonunion Organizations,1530-8286
Management and Organization Review,1740-8784
Managerial and Decision Economics,1099-1468
Marine Ecology,1439-0485
Marine Mammal Science,1748-7692
Marine and Coastal Fisheries,1942-5120
Mass Spectrometry Reviews,1098-2787
Materials and Corrosion,1521-4176
Materialwissenschaft und Werkstofftechnik,1521-4052
Maternal & Child Nutrition,1740-8709
Mathematical Finance,1467-9965
Mathematical Logic Quarterly,1521-3870
Mathematical Methods in the Applied Sciences,1099-1476
Mathematische Nachrichten,1522-2616
Mauerwerk,1437-1022
Mechanics of Cohesive-frictional Materials,1099-1484
Medical Anthropology Quarterly,1548-1387
Medical Devices & Sensors,2573-802X
Medical Education,1365-2923
Medical Mycology,1365-280X
Medical Physics,2473-4209
Medical and Veterinary Entomology,1365-2915
Medicinal Research Reviews,1098-1128
Mental Health Weekly,1556-7583
Mergent's Dividend Achievers,1548-2839
Metaphilosophy,1467-9973
Meteoritics & Planetary Science,1945-5100
Meteorological Applications,1469-8080
Methods in Ecology and Evolution,2041-210X
Metroeconomica,1467-999X
Microbial Biotechnology,1751-7915
Microbiology and Immunology,1348-0421
MicrobiologyOpen,2045-8827
Microcirculation,1549-8719
Microscopy Research and Technique,1097-0029
Microsurgery,1098-2752
Microwave and Optical Technology Letters,1098-2760
Middle East Policy,1475-4967
Midwest Studies In Philosophy,1475-4975
Milton Quarterly,1094-348X
Mind & Language,1468-0017
"Mind, Brain, and Education",1751-228X
Mining Report,2195-8378
Mitteilungen der Deutschen Entomologischen Gesellschaft,1860-1324
Modern Theology,1468-0025
Molecular Carcinogenesis,1098-2744
Molecular Ecology,1365-294X
Molecular Ecology Resources,1755-0998
Molecular Genetics & Genomic Medicine,2324-9269
Molecular Informatics,1868-1751
Molecular Microbiology,1365-2958
Molecular Nutrition & Food Research,1613-4133
Molecular Oncology,1878-0261
Molecular Oral Microbiology,2041-1014
Molecular Plant Pathology,1364-3703
Molecular Reproduction and Development,1098-2795
Molecular Systems Biology,1744-4292
Monographs of the Society for Research in Child Development,1540-5834
Monthly Notices of the Royal Astronomical Society,1365-2966
Monthly Notices of the Royal Astronomical Society: Letters,1745-3933
Mount Sinai Journal of Medicine: A Journal of Translational and Personalized Medicine,1931-7581
Movement Disorders,1531-8257
Movement Disorders Clinical Practice,2330-1619
Muscle & Nerve,1097-4598
Musculoskeletal Care,1557-0681
Museum Anthropology,1548-1379
Museum International,1468-0033
Museum International (Edition Francaise),1755-5825
Music Analysis,1468-2249
Mycoses,1439-0507
NMR in Biomedicine,1099-1492
Nachrichten aus der Chemie,1868-0054
National Civic Review,1542-7811
Nations and Nationalism,1469-8129
Natural Gas & Electricity,1545-7907
Natural Resource Modeling,1939-7445
Natural Resources Forum,1477-8947
Natural Toxins,1522-7189
Naval Engineers Journal,1559-3584
Naval Research Logistics (NRL),1520-6750
Navigation,2161-4296
Negotiation Journal,1571-9979
Negotiation and Conflict Management Research,1750-4716
Nephrology,1440-1797
Networks,1097-0037
Neurogastroenterology & Motility,1365-2982
Neurology and Clinical Neuroscience,2049-4173
Neuromodulation: Technology at the Neural Interface,1525-1403
Neuropathology,1440-1789
Neuropathology and Applied Neurobiology,1365-2990
Neuropsychopharmacology Reports,2574-173X
Neuroscience Research Communications,1520-6769
Neurourology and Urodynamics,1520-6777
New Blackfriars,1741-2005
New Directions for Adult and Continuing Education,1536-0717
New Directions for Child and Adolescent Development,1534-8687
New Directions for Community Colleges,1536-0733
New Directions for Evaluation,1534-875X
New Directions for Higher Education,1536-0741
New Directions for Institutional Research,1536-075X
New Directions for Philanthropic Fundraising,1542-7846
New Directions for Student Leadership,2373-3357
New Directions for Student Services,1536-0695
New Directions for Teaching and Learning,1536-0768
New Horizons in Adult Education and Human Resource Development,1939-4225
New Microbes and New Infections,2052-2975
New Perspectives Quarterly,1540-5842
New Phytologist,1469-8137
"New Technology, Work and Employment",1468-005X
New Zealand Geographer,1745-7939
Nonprofit Business Advisor,1949-3193
Nonprofit Communications Report,2325-8616
Nonprofit Management and Leadership,1542-7854
Nontraditional Students Report,1943-7501
Nordic Journal of Botany,1756-1051
North American Dialogue,1556-4819
North American Journal of Aquaculture,1548-8454
North American Journal of Fisheries Management,1548-8675
Noûs,1468-0068
Numerical Linear Algebra with Applications,1099-1506
Numerical Methods for Partial Differential Equations,1098-2426
Nursing & Health Sciences,1442-2018
Nursing Forum,1744-6198
Nursing Inquiry,1440-1800
Nursing Open,2054-1058
Nursing Philosophy,1466-769X
Nursing for Women's Health,1751-486X
Nursing in Critical Care,1478-5153
Nutrition & Dietetics,1747-0080
Nutrition Bulletin,1467-3010
Nutrition Reviews,1753-4887
Nutrition in Clinical Care,1523-5408
Nutrition in Clinical Practice,1941-2452
Nutritional Anthropology,1548-7172
OPEC Energy Review,1753-0237
Obesity,1930-739X
Obesity Reviews,1467-789X
Obesity Science & Practice,2055-2238
Occupational Therapy International,1557-0703
Oceania,1834-4461
Oikos,1600-0706
Oil and Energy Trends,1744-7992
Oil and Energy Trends: Annual Statistical Review,1746-9066
Ophthalmic and Physiological Optics,1475-1313
Optik & Photonik,2191-1975
Optimal Control Applications and Methods,1099-1514
Oral Diseases,1601-0825
Oral Surgery,1752-248X
Orbis Litterarum,1600-0730
Orthodontics & Craniofacial Research,1601-6343
Orthopaedic Surgery,1757-7861
Oryx,1365-3008
Oxford Bulletin of Economics and Statistics,1468-0084
Oxford Journal of Archaeology,1468-0092
Oxonomics,1752-5209
P2: Pollution Prevention Review,1520-6815
PAMM,1617-7061
PROTEOMICS,1615-9861
PROTEOMICS - Clinical Applications,1862-8354
Pacific Economic Review,1468-0106
Pacific Focus,1976-5118
Pacing and Clinical Electrophysiology,1540-8159
Packaging Technology and Science,1099-1522
Paediatric and Perinatal Epidemiology,1365-3016
Pain Medicine,1526-4637
Pain Practice,1533-2500
Palaeontology,1475-4983
Paleoceanography and Paleoclimatology,2572-4525
Papers in Palaeontology,2056-2802
Papers in Regional Science,1435-5957
Parasite Immunology,1365-3024
Parliamentary History,1750-0206
Particle & Particle Systems Characterization,1521-4117
Pastoral Care in Education,1468-0122
Pathogens and Disease,2049-632X
Pathology International,1440-1827
Peace & Change,1468-0130
Pediatric Allergy and Immunology,1399-3038
Pediatric Anesthesia,1460-9592
Pediatric Blood & Cancer,1545-5017
Pediatric Dermatology,1525-1470
Pediatric Diabetes,1399-5448
Pediatric Investigation,2574-2272
Pediatric Obesity,2047-6310
Pediatric Pulmonology,1099-0496
Pediatric Transplantation,1399-3046
Pediatrics International,1442-200X
Peptide Science,2475-8817
Performance Improvement,1930-8272
Performance Improvement Quarterly,1937-8327
Periodontology 2000,1600-0757
Permafrost and Periglacial Processes,1099-1530
Personal Relationships,1475-6811
Personality and Mental Health,1932-863X
Personnel Psychology,1744-6570
Perspectives in Psychiatric Care,1744-6163
