Full Title,ISSN,Product ID,Change History
Composites Science and Technology,0266-3538,02019,Formerly known as Fibre Science and Technology
Comprehensive Psychiatry,0010-440X,13295,
Comptes Rendus Biologies,1631-0691,09026,Formerly known as Comptes Rendus de l'Académie des Sciences - Series III - Sciences de la Vie
Comptes Rendus Chimie,1631-0748,09025,Formerly known as Comptes Rendus de l'Académie des Sciences - Series IIC - Chemistry
Comptes Rendus Geoscience,1631-0713,09023,Formerly part of Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science
Comptes Rendus Mathematique,1631-073X,09022,Formerly known as Comptes Rendus de l'Académie des Sciences - Series I - Mathematics
Comptes Rendus Mecanique,1631-0721,09024,Formerly known as Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics
Comptes Rendus Palevol,1631-0683,09112,Formerly part of Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science
Comptes Rendus Physique,1631-0705,09070,Formerly known as Comptes Rendus de l'Académie des Sciences - Series IV - Physics-Astrophysics
Computational Biology and Chemistry,1476-9271,00379,Formerly known as Computers & Chemistry
Computational Condensed Matter,2352-2143,17743,
Computational Geometry,0925-7721,05258,
Computational Materials Science,0927-0256,05193,
Computational Statistics & Data Analysis,0167-9473,05364,
Computational and Structural Biotechnology Journal,2001-0370,18077,
Computational and Theoretical Chemistry,2210-271X,05164,Formerly known as Journal of Molecular Structure: THEOCHEM
Computational Toxicology,2468-1113,18335,
Computer-Aided Design,0010-4485,03014,
Computer Aided Geometric Design,0167-8396,05259,
Computer Communications,0140-3664,05260,
Computer Fraud & Security,1361-3723,02065,Formerly known as Computer Fraud & Security Bulletin
"Computer Languages, Systems & Structures",1477-8424,00350,Formerly known as Computer Languages
Computer Law & Security Review,0267-3649,02066,
Computer Methods in Applied Mechanics and Engineering,0045-7825,06004,
Computer Methods and Programs in Biomedicine,0169-2607,08010,Formerly known as Computer Programs in Biomedicine
Computer Networks,1389-1286,05262,Formerly known as Computer Networks and ISDN Systems
Computer Physics Communications,0010-4655,05194,
Computer Science Review,1574-0137,14035,
Computer Speech & Language,0885-2308,12659,
Computer Standards & Interfaces,0920-5489,05264,Incorporating Computers and Standards and Interfaces in Computing
Computer Vision and Image Understanding,1077-3142,12024,Formerly known as CVGIP: Image Understanding
Computerized Medical Imaging and Graphics,0895-6111,00292,Formerly known as Computerized Radiology
Computers in Biology and Medicine,0010-4825,00351,
Computers & Chemical Engineering,0098-1354,00349,
Computers and Composition,8755-4615,07452,
Computers & Education,0360-1315,00347,
Computers & Electrical Engineering,0045-7906,00367,
Computers and Electronics in Agriculture,0168-1699,05099,
"Computers, Environment and Urban Systems",0198-9715,00304,Formerly known as Urban Systems
Computers & Fluids,0045-7930,00365,
Computers & Geosciences,0098-3004,00398,
Computers and Geotechnics,0266-352X,02016,
Computers & Graphics,0097-8493,00371,
Computers in Human Behavior,0747-5632,00759,
Computers & Industrial Engineering,0360-8352,00399,
Computers in Industry,0166-3615,05365,
Computers & Mathematics with Applications,0898-1221,00301,
Computers & Operations Research,0305-0548,00300,Incorporating Location Science and Surveys in Operations Research and Management Science
Computers & Security,0167-4048,02069,
Computers & Structures,0045-7949,00359,
Consciousness and Cognition,1053-8100,12018,
Construction and Building Materials,0950-0618,03017,
Contact Lens and Anterior Eye,1367-0484,05462,Formerly known as Journal of The British Contact Lens Association; Incorporating International Contact Lens Clinic
Contemporary Clinical Trials,1551-7144,07636,Formerly known as Controlled Clinical Trials
Contemporary Clinical Trials Communications,2451-8654,18844,
Contemporary Educational Psychology,0361-476X,12019,
Continental Shelf Research,0278-4343,00662,
Contraception,0010-7824,07629,
Control Engineering Practice,0967-0661,00123,
Coordination Chemistry Reviews,0010-8545,06005,
Cor et Vasa,0010-8650,11004,
Corrosion Science,0010-938X,00260,
Cortex,0010-9452,15801,
Cretaceous Research,0195-6671,12634,
Critical Care Clinics,0749-0704,13050,
Critical Care Nursing Clinics of North America,0899-5885,13159,
Critical Perspectives on Accounting,1045-2354,12681,
Critical Reviews in Oncology/Hematology,1040-8428,08011,
The Crop Journal,2214-5141,18043,
Crop Protection,0261-2194,03018,
Cryobiology,0011-2240,12023,
Cryogenics,0011-2275,03019,
Current Applied Physics,1567-1739,05572,
Current Biology,0960-9822,02216,
Current Medicine Research and Practice,2352-0817,17731,
Current Opinion in Behavioral Sciences,2352-1546,18058,
Current Opinion in Biomedical Engineering,2468-4511,18894,
Current Opinion in Biotechnology,0958-1669,02219,
Current Opinion in Cell Biology,0955-0674,02220,
Current Opinion in Chemical Biology,1367-5931,02221,
Current Opinion in Chemical Engineering,2211-3398,12954,
Current Opinion in Colloid & Interface Science,1359-0294,02228,
Current Opinion in Electrochemistry,2451-9103,18358,
Current Opinion in Endocrine and Metabolic Research,2451-9650,18341,
Current Opinion in Environmental Science & Health,2468-5844,18370,
Current Opinion in Environmental Sustainability,1877-3435,08672,
Current Opinion in Food Science,2214-7993,17049,
Current Opinion in Genetics & Development,0959-437X,02222,
Current Opinion in Green and Sustainable Chemistry,2452-2236,18302,
Current Opinion in Immunology,0952-7915,02223,
Current Opinion in Insect Science,2214-5745,13467,
Current Opinion in Microbiology,1369-5274,02224,
Current Opinion in Neurobiology,0959-4388,02225,
Current Opinion in Pharmacology,1471-4892,02277,
Current Opinion in Physiology,2468-8673,18380,
Current Opinion in Plant Biology,1369-5266,02226,
Current Opinion in Psychology,2352-250X,18066,
Current Opinion in Solid State and Materials Science,1359-0286,02229,
Current Opinion in Structural Biology,0959-440X,02227,
Current Opinion in Systems Biology,2452-3100,18300,
Current Opinion in Toxicology,2468-2020,18337,
Current Opinion in Virology,1879-6257,08728,
Current Plant Biology,2214-6628,18047,
Current Problems in Cancer,0147-0272,13305,
Current Problems in Cardiology,0146-2806,13235,
Current Problems in Diagnostic Radiology,0363-0188,13077,
Current Problems in Pediatric and Adolescent Health Care,1538-5442,13250,Formerly known as Current Problems in Pediatrics
Current Problems in Surgery,0011-3840,13086,
Current Research in Translational Medicine ,2452-3186,09094,Formerly known as Pathologie Biologie
Current Therapeutic Research,0011-393X,07568,
Currents in Pharmacy Teaching and Learning,1877-1297,13445,
Cytokine,1043-4666,12674,
Cytokine & Growth Factor Reviews,1359-6101,00868,Formerly known as Progress in Growth Factor Research
Cytotherapy,1465-3249,14134,
Data in Brief,2352-3409,18754,
Data & Knowledge Engineering,0169-023X,05265,
Decision Support Systems,0167-9236,05366,
Deep Sea Research Part I: Oceanographic Research Papers,0967-0637,00489,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
Deep Sea Research Part II: Topical Studies in Oceanography,0967-0645,00116,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
Defence Technology,2214-9147,17039,
Dendrochronologia,1125-7865,10004,
Dental Abstracts,0011-8486,13022,
Dental Clinics of North America,0011-8532,13004,
Dental Materials,0109-5641,02214,
Dermatologic Clinics,0733-8635,13296,
Dermatologica Sinica,1027-8117,08712,
Desalination,0011-9164,05152,
Design Studies,0142-694X,03021,
Development Engineering,2352-7285,18137,
Developmental Biology,0012-1606,12025,
Developmental Cell,1534-5807,07594,
Developmental Cognitive Neuroscience,1878-9293,05648,
Developmental & Comparative Immunology,0145-305X,00275,
Developmental Review,0273-2297,12026,
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,1871-4021,04250,
Diabetes & Metabolism,1262-3636,15535,
Diabetes Research and Clinical Practice,0168-8227,08012,
Diagnostic Histopathology,1756-2317,12714,Formerly known as Current Diagnostic Pathology
Diagnostic and Interventional Imaging,2211-5684,15892,
Diagnostic Microbiology and Infectious Disease,0732-8893,07639,
Diamond and Related Materials,0925-9635,06006,
Differential Geometry and its Applications,0926-2245,05266,
Differentiation,0301-4681,08664,
Digestive and Liver Disease,1590-8658,12918,
Digestive and Liver Disease Supplements,1594-5804,12604,
Digital Applications in Archaeology and Cultural Heritage,2212-0548,08821,
Digital Communications and Networks,2352-8648,18142,
Digital Investigation,1742-2876,04064,
Digital Signal Processing,1051-2004,12027,
Disability and Health Journal,1936-6574,13428,
"Discourse, Context & Media",2211-6958,12970,
Discrete Applied Mathematics,0166-218X,05267,
Discrete Mathematics,0012-365X,05268,
Discrete Optimization,1572-5286,05497,
Disease-a-Month,0011-5029,13237,
Displays,0141-9382,05270,
DNA Repair,1568-7864,05466,Formerly known as Mutation Research/DNA Repair
Domestic Animal Endocrinology,0739-7240,07637,
Douleurs : Évaluation – Diagnostic – Traitement,1624-5687,15538,
"Droit, Déontologie & Soin",1629-6583,15838,
Drug and Alcohol Dependence,0376-8716,08013,
Drug Discovery Today,1359-6446,02168,"Incorporating Drug Discovery Today: TARGETS, Drug Discovery Today: BIOSILICO and Pharmaceutical Science & Technology Today"
Drug Discovery Today: Disease Models,1740-6757,02293,
Drug Discovery Today: Technologies,1740-6749,02294,
Drug Metabolism and Pharmacokinetics,1347-4367,18127,
Drug Resistance Updates,1368-7646,12758,
Dyes and Pigments,0143-7208,02020,
Dynamics of Atmospheres and Oceans,0377-0265,05327,
Early Childhood Research Quarterly,0885-2006,07453,
Early Human Development,0378-3782,08014,Incorporating Screening
Earth and Planetary Science Letters,0012-821X,05328,
Earth-Science Reviews,0012-8252,05329,
Eating Behaviors,1471-0153,02270,
EBioMedicine,2352-3964,18079,
Ecohydrology & Hydrobiology,1642-3593,11010,
Ecological Complexity,1476-945X,05494,
Ecological Economics,0921-8009,05100,
Ecological Engineering,0925-8574,05101,
Ecological Genetics and Genomics,2405-9854,18842,
Ecological Indicators,1470-160X,02273,
Ecological Informatics,1574-9541,05508,
Ecological Modelling,0304-3800,05102,
Econometrics and Statistics,2452-3062,18306,
EconomiA,1517-7580,18044,
Economic Analysis and Policy,0313-5926,17037,
Economic Modelling,0264-9993,03023,
Economic Systems,0939-3625,05568,
Economics of Education Review,0272-7757,00743,
Economics & Human Biology,1570-677X,05475,
Economics Letters,0165-1765,06007,
Economics of Transportation,2212-0122,12990,
Ecosystem Services,2212-0416,08796,
Ecotoxicology and Environmental Safety,0147-6513,12030,
Educación Médica,1575-1813,16373,
Education for Chemical Engineers,1749-7728,08630,
Educational Research Review,1747-938X,04233,
The Egyptian Heart Journal,1110-2608,08793,
Egyptian Informatics Journal,1110-8665,08716,
Egyptian Journal of Anaesthesia,1110-1849,08726,
The Egyptian Journal of Aquatic Research,1687-4285,10142,
Egyptian Journal of Basic and Applied Sciences,2314-808X,17036,
The Egyptian Journal of Critical Care Medicine,2090-7303,10111,
Egyptian Journal of Medical Human Genetics,1110-8630,08730,
Egyptian Journal of Petroleum,1110-0621,08781,
The Egyptian Journal of Radiology and Nuclear Medicine,0378-603X,08722,
The Egyptian Journal of Remote Sensing and Space Science,1110-9823,08717,
Egyptian Pediatric Association Gazette,1110-6638,18017,
The Egyptian Rheumatologist,1110-1164,08733,
EJVES Short Reports,2405-6553,12999,Formerly known as EJVES Extra
Electoral Studies,0261-3794,03024,
Electric Power Systems Research,0378-7796,06008,
The Electricity Journal,1040-6190,07632,
Electrochemistry Communications,1388-2481,06053,
Electrochimica Acta,0013-4686,00205,
Electronic Commerce Research and Applications,1567-4223,05571,
Electronic Journal of Biotechnology,0717-3458,17072,
Electronic Notes in Discrete Mathematics,1571-0653,05485,
Electronic Notes in Theoretical Computer Science,1571-0661,05486,
EMC - AKOS - Trattato di Medicina,1634-7358,09202,
EMC - Anestesia-Reanimación,1280-4703,09205,
EMC - Anestesia-Rianimazione,1283-0771,09204,
EMC - Aparato Locomotor,1286-935X,09270,
EMC - Cirugía General,1634-7080,09266,
EMC - Cirugía Otorrinolaringológica y Cervicofacial,1635-2505,09271,
EMC - Cirugía Plástica Reparadora y Estética,1634-2143,09260,
EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei,1776-0313,09350,
EMC - Dermatología,1761-2896,09210,
EMC - Ginecología-Obstetricia,1283-081X,09218,
EMC - Kinesiterapia - Medicina Fisica,1293-2965,09221,
EMC - Medicina Riabilitativa,1283-078X,09222,
EMC - Neurologia,1634-7072,09226,
EMC - Otorinolaringoiatria,1639-870X,09235,
EMC - Otorrinolaringología,1632-3475,09234,
EMC - Pediatría,1245-1789,09237,
EMC - Podología,1762-827X,09240,
EMC - Técnicas Quirúrgicas - Aparato Digestivo,1282-9129,09259,
EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología,2211-033X,16194,
EMC - Tecniche Chirurgiche Addominale,1283-0798,09200,
EMC - Tecniche Chirurgiche - Chirurgia Generale,1636-5577,09267,
EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale,1292-3036,09272,
EMC - Tecniche Chirurgiche - Chirurgia Ortopedica,2211-0801,16193,
"EMC - Tecniche Chirurgiche - Chirurgia Plastica, Ricostruttiva ed Estetica",1769-6704,09341,
EMC - Tecniche Chirurgiche Torace,1288-3336,09269,
EMC - Tecniche Chirurgiche Vascolare,1283-0801,09277,
EMC - Tratado de Medicina,1636-5410,09228,
EMC - Urgenze,1286-9341,09275,
EMC - Urología,1761-3310,09273,
Emergency Medicine Clinics of North America,0733-8627,13211,
Emerging Contaminants,2405-6650,18170,
Emerging Markets Review,1566-0141,05556,
"Emotion, Space and Society",1755-4586,04294,
L’Encéphale,0013-7006,15539,
Endeavour,0160-9327,00574,
"Endocrinología, Diabetes y Nutrición",2530-0164,15719,Formerly known as Endocrinología y Nutrición
"Endocrinología, Diabetes y Nutrición (English ed.)",2530-0180,15790,Formerly known as Endocrinología y Nutrición (English Edition)
Endocrinology and Metabolism Clinics of North America,0889-8529,13212,
Energy,0360-5442,00483,"Incorporating Exergy, An International Journal"
Energy and Buildings,0378-7788,06009,
Energy Conversion and Management,0196-8904,00269,Formerly known as Energy Conversion
Energy Economics,0140-9883,03025,Incorporating Journal of Energy Finance & Development
Energy Policy,0301-4215,03026,
Energy Procedia,1876-6102,05615,
Energy Reports,2352-4847,18082,
Energy Research & Social Science,2214-6296,12630,
Energy Storage Materials,2405-8297,18197,
Energy Strategy Reviews,2211-467X,12967,
Energy for Sustainable Development,0973-0826,07817,
eNeurologicalSci,2405-6502,13000,
Enfermedades Infecciosas y Microbiología Clínica,0213-005X,15722,
Enfermedades infecciosas y microbiologia clinica (English ed.),2529-993X,16448,
Enfermería Clínica,1130-8621,15709,
Enfermería Clínica (English Edition),2445-1479,16435,
Enfermería Intensiva,1130-2399,15714,
Enfermería Intensiva (English ed.),2529-9840,16441,
Engineering,2095-8099,18313,
"Engineering in Agriculture, Environment and Food",1881-8366,17061,
Engineering Analysis with Boundary Elements,0955-7997,02021,Formerly known as Engineering Analysis
Engineering Applications of Artificial Intelligence,0952-1976,00975,
Engineering Failure Analysis,1350-6307,00139,
Engineering Fracture Mechanics,0013-7944,00322,
Engineering Geology,0013-7952,05330,Incorporating Mining Science and Technology
"Engineering Science and Technology, an International Journal",2215-0986,18052,
Engineering Structures,0141-0296,03027,
English for Specific Purposes,0889-4906,00682,Formerly known as The ESP Journal
Entertainment Computing,1875-9521,08654,
Environment International,0160-4120,00326,
Environmental Development,2211-4645,08774,
Environmental and Experimental Botany,0098-8472,00267,Formerly known as Radiation Botany
Environmental Impact Assessment Review,0195-9255,07643,
Environmental Innovation and Societal Transitions,2210-4224,08720,
Environmental Modelling & Software,1364-8152,02023,Formerly known as Environmental Software
"Environmental Nanotechnology, Monitoring & Management",2215-1532,17047,
Environmental Pollution,0269-7491,02022,"Incorporating Environmental Pollution Series A, Ecological and Biological and Environmental Pollution Series B, Chemical and Physical"
Environmental Research,0013-9351,12035,
Environmental Science & Policy,1462-9011,01031,
Environmental Technology & Innovation,2352-1864,18059,
Environmental Toxicology and Pharmacology,1382-6689,05432,Formerly known as European Journal of Pharmacology: Environmental Toxicology and Pharmacology
Enzyme and Microbial Technology,0141-0229,07644,
Epidemics,1755-4365,08640,
Epilepsy & Behavior,1525-5050,12876,
Epilepsy & Behavior Case Reports,2213-3232,14105,
Epilepsy Research,0920-1211,05029,Incorporating Journal of Epilepsy
"Estuarine, Coastal and Shelf Science",0272-7714,12641,Formerly known as Estuarine and Coastal Marine Science
Estudios Políticos,0185-1616,16872,
"Ethics, Medicine and Public Health",2352-5525,16354,
Éthique & Santé,1765-4629,15541,
EuPA Open Proteomics,2212-9685,10158,
"European Annals of Otorhinolaryngology, Head and Neck Diseases",1879-7296,15869,
European Economic Review,0014-2921,05368,
European Journal of Agronomy,1161-0301,05444,
European Journal of Cancer,0959-8049,00104,Formerly known as European Journal of Cancer and Clinical Oncology
European Journal of Cancer Supplements,1359-6349,00110,
European Journal of Cell Biology,0171-9335,10005,
European Journal of Combinatorics,0195-6698,12636,
European Journal of Control,0947-3580,17015,
European Journal of Integrative Medicine,1876-3820,10062,
European Journal of Internal Medicine,0953-6205,05551,
European Journal of Mechanics - A/Solids,0997-7538,09030,
European Journal of Mechanics - B/Fluids,0997-7546,09031,
European Journal of Medical Genetics,1769-7212,09081,Formerly known as Annales de Génétique
European Journal of Medicinal Chemistry,0223-5234,09032,
European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,08018,Formerly known as European Journal of Obstetrics & Gynecology
European Journal of Oncology Nursing,1462-3889,12746,Formerly known as Journal of Cancer Nursing
European Journal of Operational Research,0377-2217,05369,
European Journal of Paediatric Neurology,1090-3798,12707,
European Journal of Pharmaceutical Sciences,0928-0987,05030,Incorporating Pharmaceutica Acta Helvetiae
European Journal of Pharmaceutics and Biopharmaceutics,0939-6411,05446,
European Journal of Pharmacology,0014-2999,05031,Incorporating European Journal of Pharmacology: Molecular Pharmacology
European Journal of Political Economy,0176-2680,05370,
European Journal of Protistology,0932-4739,10028,
The European Journal of Psychiatry,0213-6163,16440,
European Journal of Radiology,0720-048X,08019,
European Journal of Radiology Open,2352-0477,17737,
European Journal of Soil Biology,1164-5563,09033,
European Journal of Surgical Oncology,0748-7983,12656,
European Journal of Trauma & Dissociation,2468-7499,16442,
European Journal of Vascular and Endovascular Surgery,1078-5884,12672,Formerly known as European Journal of Vascular Surgery
European Management Journal,0263-2373,00115,
European Neuropsychopharmacology,0924-977X,05033,
European Polymer Journal,0014-3057,00294,
European Psychiatry,0924-9338,09034,
European Research on Management and Business Economics,2444-8834,15976,Formerly  known as Investigaciones Europeas de Dirección y Economía de la Empresa
European Urology,0302-2838,05436,
European Urology Focus,2405-4569,18216,
European Urology Supplements,1569-9056,05469,Incorporating EAU-EBU Update Series
Evaluation and Program Planning,0149-7189,00593,
Evolution and Human Behavior,1090-5138,07645,Formerly known as Ethology and Sociobiology
L'Évolution Psychiatrique,0014-3855,09035,
Experimental Cell Research,0014-4827,12028,
Experimental Eye Research,0014-4835,12605,
Experimental Gerontology,0531-5565,07530,
Experimental Hematology,0301-472X,07655,
Experimental and Molecular Pathology,0014-4800,12031,
Experimental Neurology,0014-4886,12032,Incorporating Neurodegeneration
Experimental Parasitology,0014-4894,12034,
Experimental Thermal and Fluid Science,0894-1777,07646,
Expert Systems with Applications,0957-4174,00939,
Explorations in Economic History,0014-4983,12029,
EXPLORE,1550-8307,13364,
Expositiones Mathematicae,0723-0869,10031,
The Extractive Industries and Society,2214-790X,17043,
Extreme Mechanics Letters,2352-4316,18071,
Facial Plastic Surgery Clinics of North America,1064-7406,13060,
Fertility and Sterility,0015-0282,07647,
Field Crops Research,0378-4290,05104,
Field Mycology,1468-1641,04236,
Filtration Industry Analyst,1365-6937,02207,
Filtration + Separation,0015-1882,02127,
Finance Research Letters,1544-6123,13350,
Finite Elements in Analysis and Design,0168-874X,05272,
Finite Fields and Their Applications,1071-5797,12037,
Fire Safety Journal,0379-7112,02024,
Fish & Shellfish Immunology,1050-4648,12683,
Fisheries Research,0165-7836,05105,
Fisioterapia,0211-5638,15713,
Fitoterapia,0367-326X,05549,
FlatChem,2452-2627,18317,
Flora,0367-2530,10032,"Formerly known as Flora oder Allgemeine botanische Zeitung. Abt. B, Morphologie und Geobotanik;"
Flow Measurement and Instrumentation,0955-5986,03029,
Fluid Phase Equilibria,0378-3812,05153,
FMC - Formación Médica Continuada en Atención Primaria,1134-2072,15723,
Focus on Catalysts,1351-4180,04013,
Focus on Pigments,0969-6210,04011,
Focus on Powder Coatings,1364-5439,04015,
Focus on Surfactants,1351-4210,04009,
Food and Bioproducts Processing,0960-3085,08633,
Food Bioscience,2212-4292,12988,
Food and Chemical Toxicology,0278-6915,00237,Formerly known as Food and Cosmetics Toxicology
Food Chemistry,0308-8146,02025,
Food Control,0956-7135,03030,
Food Hydrocolloids,0268-005X,01029,
Food Microbiology,0740-0020,12652,
Food Packaging and Shelf Life,2214-2894,18031,
Food Policy,0306-9192,03031,
Food Quality and Preference,0950-3293,02026,
Food Research International,0963-9969,02027,Formerly known as Canadian Institute of Food Science and Technology Journal
Food Science and Human Wellness,2213-4530,10151,
Food Structure,2213-3291,12994,
Food and Waterborne Parasitology,2405-6766,18843,
Food Webs,2352-2496,18749,
The Foot,0958-2592,12743,
Foot and Ankle Clinics,1083-7515,13059,
Foot and Ankle Surgery,1268-7731,04056,
Forensic Chemistry,2468-1709,18340,
Forensic Science International,0379-0738,08021,Formerly known as Forensic Science
Forensic Science International: Genetics,1872-4973,04100,
Forensic Science International: Genetics Supplement Series,1875-1768,08156,
Forensic Science International Supplement Series,1875-1741,08157,
Forest Ecology and Management,0378-1127,05106,
Forest Policy and Economics,1389-9341,05553,
Free Radical Biology and Medicine,0891-5849,07531,Incorporating Advances in Free Radical Biology & Medicine and Journal of Free Radicals in Biology & Medicine
Frontiers of Architectural Research,2095-2635,18005,
Frontiers in Laboratory Medicine,2542-3649,18381,
Frontiers in Neuroendocrinology,0091-3022,12039,
Fuel,0016-2361,03032,
Fuel Cells Bulletin,1464-2859,02233,
Fuel and Energy Abstracts,0140-6701,03033,
Fuel Processing Technology,0378-3820,05154,
Fungal Biology,1878-6146,04234,Formerly known as Mycological Research
Fungal Biology Reviews,1749-4613,04235,Formerly known as Mycologist
Fungal Ecology,1754-5048,04293,
Fungal Genetics and Biology,1087-1845,12038,Formerly known as Experimental Mycology
Fusion Engineering and Design,0920-3796,06010,Formerly known as Nuclear Engineering and Design. Fusion
Fuss & Sprunggelenk,1619-9987,10060,
Future Business Journal,2314-7210,18145,
Future Computing and Informatics Journal,2314-7288,18252,
Future Dental Journal,2314-7180,18239,
Future Generation Computer Systems,0167-739X,05273,
Future Journal of Pharmaceutical Sciences,2314-7245,18232,
Futures,0016-3287,03034,
Fuzzy Sets and Systems,0165-0114,05371,
Gaceta Sanitaria,0213-9111,15747,
Gait & Posture,0966-6362,05107,
Games and Economic Behavior,0899-8256,12040,
Gastroenterología y Hepatología,0210-5705,15738,
Gastroenterología y Hepatología (English Edition),2444-3824,16411,
Gastroenterology,0016-5085,13216,
Gastroenterology Clinics of North America,0889-8553,13214,
Gastrointestinal Endoscopy,0016-5107,13078,
Gastrointestinal Endoscopy Clinics of North America,1052-5157,13217,
Gene,0378-1119,05041,
Gene Expression Patterns,1567-133X,05567,
Gene Reports,2452-0144,18860,
General and Comparative Endocrinology,0016-6480,12033,
General Hospital Psychiatry,0163-8343,07654,
Genes & Diseases,2352-3042,18068,
Genomics,0888-7543,12043,
"Genomics, Proteomics & Bioinformatics",1672-0229,05602,
Geobios,0016-6995,09110,
Geochimica et Cosmochimica Acta,0016-7037,00212,
Geoderma,0016-7061,05333,
Geoderma Regional,2352-0094,17730,
Geodesy and Geodynamics,1674-9847,18158,
Geoforum,0016-7185,00344,
Geomechanics for Energy and the Environment,2352-3808,18069,
Geomorphology,0169-555X,05334,
Geoscience Frontiers,1674-9871,08721,
Geotextiles and Geomembranes,0266-1144,02028,
Geothermics,0375-6505,00389,
Geriatric Nursing,0197-4572,13166,
Giornale Italiano di Endodonzia,1121-4171,15812,
Global Ecology and Conservation,2351-9894,17076,
Global Environmental Change,0959-3780,01043,
Global Finance Journal,1044-0283,07407,
Global Food Security,2211-9124,08790,
Global Heart,2211-8160,05498,Formerly known as CVD Prevention and Control
Global and Planetary Change,0921-8181,05335,
Gondwana Research,1342-937X,06066,
Government Information Quarterly,0740-624X,07408,Incorporating Journal of Government Information
Graphical Models,1524-0703,12044,Formerly known as Graphical Models and Image Processing
Green Energy & Environment,2468-0257,18336,
Groundwater for Sustainable Development,2352-801X,18121,
Growth Hormone & IGF Research,1096-6374,12770,
Gynecologic Oncology,0090-8258,12045,
Gynecologic Oncology Reports,2352-5789,14068,Formerly known as Gynecologic Oncology Case Reports
Gynécologie Obstétrique Fertilité & Sénologie,2468-7189,09104,Formerly known as Gynécologie Obstétrique & Fertilité
Habitat International,0197-3975,00479,
Hand Clinics,0749-0712,13063,
Hand Surgery and Rehabilitation ,2468-1229,09088,Formerly known as Chirurgie de la Main
HardwareX,2468-0672,18318,
Harmful Algae,1568-9883,08550,
HBRC Journal,1687-4048,10145,
Health & Place,1353-8292,03092,
Health Policy,0168-8510,08022,Formerly known as Health Policy and Education
Health Policy and Technology,2211-8837,12981,
Health Professions Education,2452-3011,18224,
Healthcare,2213-0764,14138,
Hearing Research,0378-5955,05043,
Heart Failure Clinics,1551-7136,13369,
Heart & Lung,0147-9563,13169,
"Heart, Lung and Circulation",1443-9506,05496,Formerly known as The Asia Pacific Heart Journal
Heart Rhythm,1547-5271,13360,
HeartRhythm Case Reports,2214-0271,14151,
Heliyon,2405-8440,18230,
Hellenic Journal of Cardiology,1109-9666,18356,
Hematology/Oncology Clinics of North America,0889-8588,13299,
Hematology/Oncology and Stem Cell Therapy,1658-3876,10160,
"Hematology, Transfusion and Cell Therapy",2531-1379,15904,Formerly known as Revista Brasileira de Hematologia e Hemoterapia
Hepatobiliary & Pancreatic Diseases International,1499-3872,08757,
High Energy Density Physics,1574-1818,05507,
Hipertensión y Riesgo Vascular,1889-1837,15727,Formerly known as Hipertensión
Historia Mathematica,0315-0860,12047,
HOMO,0018-442X,10023,
Hormigón y Acero,0439-5689,16830,
Hormones and Behavior,0018-506X,12046,
Horticultural Plant Journal,2468-0141,18316,
HPB,1365-182X,18284,
Human Immunology,0198-8859,07660,
Human Microbiome Journal,2452-2317,18354,
Human Movement Science,0167-9457,05274,
Human Pathology,0046-8177,13064,
Human Pathology: Case Reports,2214-3300,14155,
Human Resource Management Review,1053-4822,07410,
Hydrometallurgy,0304-386X,05336,
IATSS Research,0386-1112,12899,
IBRO Reports,2451-8301,18263,
Icarus,0019-1035,12049,
ICT Express,2405-9595,18247,
IDCases,2214-2509,18023,
IFAC Journal of Systems and Control,2468-6018,18378,
IFAC-PapersOnLine,2405-8963,18189,Formerly known as IFAC Proceedings Volumes
IHJ Cardiovascular Case Reports (CVCR),2468-600X,18372,
IIMB Management Review,0970-3896,12768,
IJC Heart & Vasculature,2352-9067,08168,Formerly known as IJC Heart & Vessels
Image and Vision Computing,0262-8856,05278,
Imagerie de la Femme,1776-9817,15773,
Immunity,1074-7613,07591,
Immunobiology,0171-2985,10026,Formerly known as Zeitschrift für Immunitätsforschung: Immunobiology
Immunology and Allergy Clinics of North America,0889-8561,13300,
Immunology Letters,0165-2478,05044,
In Analysis,2542-3606,16443,
Indagationes Mathematicae,0019-3577,05280,Incorporating Indagationes Mathematicae (Proceedings)
Indian Heart Journal,0019-4832,18007,
Indian Journal of Medical Specialities,0976-2884,17734,
Indian Journal of Tuberculosis,0019-5707,18168,
Indian Pacing and Electrophysiology Journal,0972-6292,18240,
Industrial Crops and Products,0926-6690,05108,
Industrial Marketing Management,0019-8501,07663,
Infant Behavior and Development,0163-6383,07454,
"Infection, Disease & Health",2468-0451,18324,Formerly known as Healthcare infection and Australian Infection Control
"Infection, Genetics and Evolution",1567-1348,05573,
Infectious Disease Clinics of North America,0891-5520,13224,
Infectious Disease Modelling,2468-0427,18312,
Informatics in Medicine Unlocked,2352-9148,18129,
Information and Computation,0890-5401,12048,Formerly known as Information and Control
Information Economics and Policy,0167-6245,05375,
