pmid,issn,name,year,doi,pmcid,title
18257679,0894-0282,Mol. Plant Microbe Interact.,2008,10.1094/MPMI-21-3-0294,,OsRAR1 and OsSGT1 physically interact and function in rice basal disease resistance.
18273684,0167-4412,Plant Mol. Biol.,2008,10.1007/s11103-008-9309-5,,Characterization of transcription factor gene SNAC2 conferring cold and salt tolerance in rice.
18282189,1399-3054,Physiol Plant,2008,10.1111/j.1399-3054.2008.01051.x,,"Cellular distribution of ACT domain repeat protein 9, a nuclear localizing protein, in rice (Oryza sativa)."
18308761,1471-9053,Plant Cell Physiol.,2008,10.1093/pcp/pcn036,,"DCW11, down-regulated gene 11 in CW-type cytoplasmic male sterile rice, encoding mitochondrial protein phosphatase 2c is related to cytoplasmic male sterility."
18395997,0378-1119,Gene,2008,10.1016/j.gene.2008.02.011,,Expression analysis of the calcineurin B-like gene family in rice (Oryza sativa L.) under environmental stresses.
18442365,1471-2229,BMC Plant Biol.,2008,10.1186/1471-2229-8-49,PMC2386468,The SNF1-type serine-threonine protein kinase SAPK4 regulates stress-responsive gene expression in rice.
18503045,1460-2431,J. Exp. Bot.,2008,10.1093/jxb/ern086,,"Cysteine proteinases regulate chloroplast protein content and composition in tobacco leaves: a model for dynamic interactions with ribulose-1,5-bisphosphate carboxylase/oxygenase (Rubisco) vesicular bodies."
18506478,0032-0935,Planta,2008,10.1007/s00425-008-0755-8,,"Molecular cloning, functional characterization and expression analysis of a novel monosaccharide transporter gene OsMST6 from rice (Oryza sativa L.)."
18508957,0032-0889,Plant Physiol.,2008,10.1104/pp.108.119925,PMC2492649,SCAMPs highlight the developing cell plate during cytokinesis in tobacco BY-2 cells.
18515498,1040-4651,Plant Cell,2008,10.1105/tpc.108.059311,PMC2438455,A transporter regulating silicon distribution in rice shoots.
18547394,1365-313X,Plant J.,2008,10.1111/j.1365-313X.2008.03569.x,PMC3072431,"Molecular cloning and characterization of OsCDase, a ceramidase enzyme from rice."
18594992,0167-4412,Plant Mol. Biol.,2008,10.1007/s11103-008-9365-x,,"ROLLED LEAF 9, encoding a GARP protein, regulates the leaf abaxial cell fate in rice."
18718933,1471-9053,Plant Cell Physiol.,2008,10.1093/pcp/pcn121,,Rice peptide deformylase PDF1B is crucial for development of chloroplasts.
18723667,0032-0889,Plant Physiol.,2008,10.1104/pp.108.123547,PMC2556838,Abnormal chloroplast development and growth inhibition in rice thioredoxin m knock-down plants.
18725639,1091-6490,Proc. Natl. Acad. Sci. U.S.A.,2008,10.1073/pnas.0806019105,PMC2529042,"RID1, encoding a Cys2/His2-type zinc finger transcription factor, acts as a master switch from vegetative to floral development in rice."
18931143,0032-0889,Plant Physiol.,2008,10.1104/pp.108.128199,PMC2593664,Characterization of OsbZIP23 as a key player of the basic leucine zipper transcription factor family for conferring abscisic acid sensitivity and salinity and drought tolerance in rice.
18939965,1365-313X,Plant J.,2009,10.1111/j.1365-313X.2008.03703.x,,"BC10, a DUF266-containing and Golgi-located type II membrane protein, is required for cell-wall biosynthesis in rice (Oryza sativa L.)."
19010999,0032-0889,Plant Physiol.,2009,10.1104/pp.108.131227,PMC2633841,Role of the rice hexokinases OsHXK5 and OsHXK6 as glucose sensors.
19014580,1471-2148,BMC Evol. Biol.,2008,10.1186/1471-2148-8-314,PMC2631504,Transfer of rice mitochondrial ribosomal protein L6 gene to the nucleus: acquisition of the 5'-untranslated region via a transposable element.
19017626,1471-9053,Plant Cell Physiol.,2009,10.1093/pcp/pcn175,,Novel cysteine-rich peptides from Digitaria ciliaris and Oryza sativa enhance tolerance to cadmium by limiting its cellular accumulation.
19039666,0167-4412,Plant Mol. Biol.,2009,10.1007/s11103-008-9430-5,,"A novel wall-associated receptor-like protein kinase gene, OsWAK1, plays important roles in rice blast disease resistance."
19049971,0021-9258,J. Biol. Chem.,2009,10.1074/jbc.M806042200,,Rice OsYSL15 is an iron-regulated iron(III)-deoxymugineic acid transporter expressed in the roots and is essential for iron uptake in early growth of the seedlings.
19089317,0167-4412,Plant Mol. Biol.,2009,10.1007/s11103-008-9442-1,,Rice phot1a mutation reduces plant growth by affecting photosynthetic responses to light during early seedling growth.
19129168,1460-2431,J. Exp. Bot.,2009,10.1093/jxb/ern311,PMC2651459,A green fluorescent protein fused to rice prolamin forms protein body-like structures in transgenic rice.
19135985,1090-2104,Biochem. Biophys. Res. Commun.,2009,10.1016/j.bbrc.2008.12.163,,Overexpression of a NAC transcription factor enhances rice drought and salt tolerance.
19136647,1040-4651,Plant Cell,2009,10.1105/tpc.108.063248,PMC2648074,The plastidial 2-C-methyl-D-erythritol 4-phosphate pathway provides the isoprenyl moiety for protein geranylgeranylation in tobacco BY-2 cells.
19154200,1365-313X,Plant J.,2009,10.1111/j.1365-313X.2009.03799.x,,Short panicle1 encodes a putative PTR family transporter and determines rice panicle size.
19181864,1460-2431,J. Exp. Bot.,2009,10.1093/jxb/ern343,PMC2652057,Heterologous expression analyses of rice OsCAS in Arabidopsis and in yeast provide evidence for its roles in cyanide detoxification rather than in cysteine synthesis in vivo.
19198875,1432-2048,Planta,2009,10.1007/s00425-009-0893-7,,Functional characterization of rice OsDof12.
19214577,1617-4623,Mol. Genet. Genomics,2009,10.1007/s00438-009-0429-7,,Conservation of dual-targeted proteins in Arabidopsis and rice points to a similar pattern of gene-family evolution.
19225807,1432-2048,Planta,2009,10.1007/s00425-009-0895-5,,Tolerance to various environmental stresses conferred by the salt-responsive rice gene ONAC063 in transgenic Arabidopsis.
19244140,1040-4651,Plant Cell,2009,10.1105/tpc.108.064543,PMC2660611,A bacterial-type ABC transporter is involved in aluminum tolerance in rice.
19376836,0032-0889,Plant Physiol.,2009,10.1104/pp.109.135418,PMC2689993,Disruption of OsYSL15 leads to iron inefficiency in rice plants.
19396402,1573-6776,Biotechnol. Lett.,2009,10.1007/s10529-009-0004-7,,Stage- and tissue-specific expression of rice OsIsu1 gene encoding a scaffold protein for mitochondrial iron-sulfur-cluster biogenesis.
19415325,1432-2048,Planta,2009,10.1007/s00425-009-0934-2,,"OsMSRA4.1 and OsMSRB1.1, two rice plastidial methionine sulfoxide reductases, are involved in abiotic stress responses."
19453459,1365-313X,Plant J.,2009,10.1111/j.1365-313X.2009.03909.x,,Rice OGR1 encodes a pentatricopeptide repeat-DYW protein and is essential for RNA editing in mitochondria.
19458265,1091-6490,Proc. Natl. Acad. Sci. U.S.A.,2009,10.1073/pnas.0901860106,PMC2695074,Suppressed expression of Retrograde-Regulated Male Sterility restores pollen fertility in cytoplasmic male sterile rice plants.
19468840,1573-5028,Plant Mol. Biol.,2009,10.1007/s11103-009-9500-3,PMC2706380,OsYSL18 is a rice iron(III)-deoxymugineic acid transporter specifically expressed in reproductive organs and phloem of lamina joints.
19505461,1873-3468,FEBS Lett.,2009,10.1016/j.febslet.2009.06.003,,Subcellular localization of rice histone deacetylases in organelles.
19618278,1573-5028,Plant Mol. Biol.,2009,10.1007/s11103-009-9524-8,,Identification and expression profiling analysis of TIFY family genes involved in stress and phytohormone responses in rice.
19622530,1471-9053,Plant Cell Physiol.,2009,10.1093/pcp/pcp104,,Amyloplast division progresses simultaneously at multiple sites in the endosperm of rice.
19682292,1365-3040,Plant Cell Environ.,2009,10.1111/j.1365-3040.2009.02032.x,,Increased nitrogen-use efficiency in transgenic rice plants over-expressing a nitrogen-responsive early nodulin gene identified from rice expression profiling.
19688213,1432-203X,Plant Cell Rep.,2009,10.1007/s00299-009-0760-9,,"Signal peptide peptidases are expressed in the shoot apex of rice, localized to the endoplasmic reticulum."
19765235,1365-313X,Plant J.,2009,10.1111/j.1365-313X.2009.04022.x,,Rice cellulose synthase-like D4 is essential for normal cell-wall biosynthesis and plant growth.
19767453,1532-298X,Plant Cell,2009,10.1105/tpc.109.068288,PMC2768910,The rice alpha-amylase glycoprotein is targeted from the Golgi apparatus through the secretory pathway to the plastids.
19807881,1365-313X,Plant J.,2010,10.1111/j.1365-313X.2009.04039.x,,Inactivation of the CTD phosphatase-like gene OsCPL1 enhances the development of the abscission layer and seed shattering in rice.
19825016,1469-8137,New Phytol.,2010,10.1111/j.1469-8137.2009.03047.x,,"SPL28 encodes a clathrin-associated adaptor protein complex 1, medium subunit micro 1 (AP1M1) and is responsible for spotted leaf and early senescence in rice (Oryza sativa)."
19825680,1674-2052,Mol Plant,2009,10.1093/mp/ssp051,,Rice-specific mitochondrial iron-regulated gene (MIR) plays an important role in iron homeostasis.
19850038,1873-3468,FEBS Lett.,2009,10.1016/j.febslet.2009.10.039,,OsBADH1 is possibly involved in acetaldehyde oxidation in rice plant peroxisomes.
19904499,0219-1032,Mol. Cells,2009,10.1007/s10059-009-0161-5,,Rice OsACDR1 (Oryza sativa accelerated cell death and resistance 1) is a potential positive regulator of fungal disease resistance.
20007444,1532-2548,Plant Physiol.,2010,10.1104/pp.109.149856,PMC2815886,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice.
20039179,1617-4623,Mol. Genet. Genomics,2010,10.1007/s00438-009-0507-x,,Systematic analysis of GT factor family of rice reveals a novel subfamily involved in stress responses.
20039193,1573-5028,Plant Mol. Biol.,2010,10.1007/s11103-009-9592-9,,The bZIP transcription factor OsABF1 is an ABA responsive element binding factor that enhances abiotic stress signaling in rice.
20097911,1471-9053,Plant Cell Physiol.,2010,10.1093/pcp/pcq012,,A rice stromal processing peptidase regulates chloroplast and root development.
20141629,1471-2164,BMC Genomics,2010,10.1186/1471-2164-11-95,PMC2829514,"Genome-wide analysis of rice ClpB/HSP100, ClpC and ClpD genes."
20202129,1469-8137,New Phytol.,2010,10.1111/j.1469-8137.2010.03194.x,,"Expression analysis and functional characterization of the monosaccharide transporters, OsTMTs, involving vacuolar sugar transport in rice (Oryza sativa)."
20213122,1432-2048,Planta,2010,10.1007/s00425-010-1127-8,,"Identification and organization of chloroplastic and cytosolic L-myo-inositol 1-phosphate synthase coding gene(s) in Oryza sativa: comparison with the wild halophytic rice, Porteresia coarctata."
20226077,1759-8753,Mob DNA,2010,10.1186/1759-8753-1-5,PMC2836001,Transposition of the Tourist-MITE mPing in yeast: an assay that retains key features of catalysis by the class 2 PIF/Harbinger superfamily.
20227044,1673-8527,J Genet Genomics,2010,10.1016/S1673-8527(09)60029-1,,ELE restrains empty glumes from developing into lemmas.
20227662,1934-6069,Cell Host Microbe,2010,10.1016/j.chom.2010.02.008,,The Hop/Sti1-Hsp90 chaperone complex facilitates the maturation and transport of a PAMP receptor in rice innate immunity.
20419467,1573-5028,Plant Mol. Biol.,2010,10.1007/s11103-010-9637-0,,OsZIP5 is a plasma membrane zinc transporter in rice.
20421194,1460-2431,J. Exp. Bot.,2010,10.1093/jxb/erq103,PMC2882263,Two solanesyl diphosphate synthases with different subcellular localizations and their respective physiological roles in Oryza sativa.
20496122,0219-1032,Mol. Cells,2010,10.1007/s10059-010-0069-0,,Zinc deficiency-inducible OsZIP8 encodes a plasma membrane-localized zinc transporter in rice.
20576316,1618-1328,J. Plant Physiol.,2010,10.1016/j.jplph.2010.05.008,,The ABRE-binding bZIP transcription factor OsABF2 is a positive regulator of abiotic stress and ABA signaling in rice.
20593223,1573-5028,Plant Mol. Biol.,2010,10.1007/s11103-010-9656-x,,Mutation in Wilted Dwarf and Lethal 1 (WDL1) causes abnormal cuticle formation and rapid water loss in rice.
20607362,1573-5028,Plant Mol. Biol.,2010,10.1007/s11103-010-9659-7,,"A rice DEAD-box protein, OsRH36, can complement an Arabidopsis atrh36 mutant, but cannot functionally replace its yeast homolog Dbp8p."
20616165,1674-2052,Mol Plant,2010,10.1093/mp/ssq038,,Plasma membrane localization and potential endocytosis of constitutively expressed XA21 proteins in transgenic rice.
20627947,1471-9053,Plant Cell Physiol.,2010,10.1093/pcp/pcq098,,Protein disulfide isomerase like 1-1 participates in the maturation of proglutelin within the endoplasmic reticulum in rice endosperm.
20632034,1617-4623,Mol. Genet. Genomics,2010,10.1007/s00438-010-0557-0,,The abiotic stress-responsive NAC-type transcription factor OsNAC5 regulates stress-inducible genes and stress tolerance in rice.
20632185,1432-2048,Planta,2010,10.1007/s00425-010-1226-6,,OsPRA1 plays a significant role in targeting of OsRab7 into the tonoplast via the prevacuolar compartment during vacuolar trafficking in plant cells.
20663087,1365-313X,Plant J.,2010,10.1111/j.1365-313X.2010.04308.x,,"The rice dynamin-related protein DRP2B mediates membrane trafficking, and thereby plays a critical role in secondary cell wall cellulose biosynthesis."
20852032,1532-2548,Plant Physiol.,2010,10.1104/pp.110.163741,PMC2971608,Characterization of the beta-carotene hydroxylase gene DSM2 conferring drought and oxidative stress resistance by increasing xanthophylls and abscisic acid synthesis in rice.
21087465,1471-2229,BMC Plant Biol.,2010,10.1186/1471-2229-10-253,PMC3012604,"Classification of rice (Oryza sativa L. Japonica nipponbare) immunophilins (FKBPs, CYPs) and expression patterns under water stress."
21224427,1532-298X,Plant Cell,2011,10.1105/tpc.110.081463,PMC3077780,Rice two-pore K+ channels are expressed in different types of vacuoles.
21251105,1365-313X,Plant J.,2011,10.1111/j.1365-313X.2010.04469.x,,Multiple cytosolic and transmembrane determinants are required for the trafficking of SCAMP1 via an ER-Golgi-TGN-PM pathway.
21251107,1365-313X,Plant J.,2011,10.1111/j.1365-313X.2011.04500.x,,Cyclobutane pyrimidine dimer (CPD) photolyase repairs ultraviolet-B-induced CPDs in rice chloroplast and mitochondrial DNA.
21265890,1365-313X,Plant J.,2011,10.1111/j.1365-313X.2010.04427.x,,"The fertility restorer gene, Rf2, for Lead Rice-type cytoplasmic male sterility of rice encodes a mitochondrial glycine-rich protein."
21278127,1532-298X,Plant Cell,2011,10.1105/tpc.110.079509,PMC3051231,Distinct roles of protein disulfide isomerase and P5 sulfhydryl oxidoreductases in multiple pathways for oxidation of structurally diverse storage proteins in rice.
21282525,1532-298X,Plant Cell,2011,10.1105/tpc.109.073692,PMC3051251,"Pollen semi-sterility1 encodes a kinesin-1-like protein important for male meiosis, anther dehiscence, and fertility in rice."
21307283,1532-298X,Plant Cell,2011,10.1105/tpc.110.081349,PMC3077795,RICE MORPHOLOGY DETERMINANT encodes the type II formin FH5 and regulates rice morphogenesis.
21309870,1365-313X,Plant J.,2011,10.1111/j.1365-313X.2011.04535.x,,Alternative targeting of Arabidopsis plastidic glucose-6-phosphate dehydrogenase G6PD1 involves cysteine-dependent interaction with G6PD4 in the cytosol.
21352234,1469-8137,New Phytol.,2011,10.1111/j.1469-8137.2011.03659.x,,Ascorbate peroxidase-related (APx-R) is a new heme-containing protein functionally associated with ascorbate peroxidase but evolutionarily divergent.
21447055,1467-7652,Plant Biotechnol. J.,2011,10.1111/j.1467-7652.2011.00610.x,,Mutations in the F-box gene LARGER PANICLE improve the panicle architecture and enhance the grain yield in rice.
21481190,1742-4658,FEBS J.,2011,10.1111/j.1742-4658.2011.08122.x,,Expression analysis of the nucleocytoplasmic lectin 'Orysata' from rice in Pichia pastoris.
21499841,1573-5028,Plant Mol. Biol.,2011,10.1007/s11103-011-9775-z,,OsSDIR1 overexpression greatly improves drought tolerance in transgenic rice.
21502185,1532-2548,Plant Physiol.,2011,10.1104/pp.111.175240,PMC3135946,The phosphate transporter gene OsPht1;8 is involved in phosphate homeostasis in rice.
21511810,1752-9867,Mol Plant,2011,10.1093/mp/ssr028,,Rice OsGL1-1 is involved in leaf cuticular wax and cuticle membrane.
21533550,0219-1032,Mol. Cells,2011,10.1007/s10059-011-1038-y,PMC3887615,Identification and characterization of the duplicate rice sucrose synthase genes OsSUS5 and OsSUS7 which are associated with the plasma membrane.
21547461,1432-2048,Planta,2011,10.1007/s00425-011-1423-y,,The WRKY transcription factor OsWRKY78 regulates stem elongation and seed development in rice.
21551159,1471-9053,Plant Cell Physiol.,2011,10.1093/pcp/pcr058,PMC3110883,Rice debranching enzyme isoamylase3 facilitates starch metabolism and affects plastid morphogenesis.
21558459,1095-8290,Ann. Bot.,2011,10.1093/aob/mcr057,PMC3091807,Analyses of two rice (Oryza sativa) cyclin-dependent kinase inhibitors and effects of transgenic expression of OsiICK6 on plant growth and development.
21595879,1471-2229,BMC Plant Biol.,2011,10.1186/1471-2229-11-90,PMC3125349,A rice calcium-dependent protein kinase is expressed in cortical root cells during the presymbiotic phase of the arbuscular mycorrhizal symbiosis.
21606318,1532-2548,Plant Physiol.,2011,10.1104/pp.111.177428,PMC3135945,OsREC8 is essential for chromatid cohesion and metaphase I monopolar orientation in rice meiosis.
21610181,1532-2548,Plant Physiol.,2011,10.1104/pp.110.168047,PMC3135959,K+ transport by the OsHKT2;4 transporter from rice with atypical Na+ transport properties and competition in permeation of K+ over Mg2+ and Ca2+ ions.
21610725,2041-1723,Nat Commun,2011,10.1038/ncomms1326,PMC3113228,The rice mitochondrial iron transporter is essential for plant growth.
21613379,1460-2431,J. Exp. Bot.,2011,10.1093/jxb/err178,PMC3170556,Reduced expression of a gene encoding a Golgi localized monosaccharide transporter (OsGMST1) confers hypersensitivity to salt in rice (Oryza sativa).
21697258,1460-2431,J. Exp. Bot.,2011,10.1093/jxb/err136,PMC3192999,The OsNRAMP1 iron transporter is involved in Cd accumulation in rice.
21717056,1573-4978,Mol. Biol. Rep.,2012,10.1007/s11033-011-1122-6,,Over-expression in the nucleotide-binding site-leucine rich repeat gene DEPG1 increases susceptibility to bacterial leaf streak disease in transgenic rice plants.
21729241,1742-4658,FEBS J.,2011,10.1111/j.1742-4658.2011.08229.x,,Binding affinities and interactions among different heat shock element types and heat shock factors in rice (Oryza sativa L.).
21734114,1532-2548,Plant Physiol.,2011,10.1104/pp.111.181248,PMC3165901,Functional analysis of two isoforms of leaf-type ferredoxin-NADP(+)-oxidoreductase in rice using the heterologous expression system of Arabidopsis.
21771914,1532-2548,Plant Physiol.,2011,10.1104/pp.111.176982,PMC3165862,"Impaired function of the tonoplast-localized sucrose transporter in rice, OsSUT2, limits the transport of vacuolar reserve sucrose and affects plant growth."
21796433,1438-2199,Amino Acids,2012,10.1007/s00726-011-1002-3,,Constitutively and highly expressed Oryza sativa polyamine oxidases localize in peroxisomes and catalyze polyamine back conversion.
21809091,1432-2048,Planta,2012,10.1007/s00425-011-1481-1,,"Wax crystal-sparse leaf2, a rice homologue of WAX2/GL1, is involved in synthesis of leaf cuticular wax."
21853042,1932-6203,PLoS ONE,2011,10.1371/journal.pone.0022664,PMC3154905,Characterization of the PRMT gene family in rice reveals conservation of arginine methylation.
21892614,1432-203X,Plant Cell Rep.,2012,10.1007/s00299-011-1140-9,,"Molecular characterization of a rice metal tolerance protein, OsMTP1."
21897044,1347-6947,Biosci. Biotechnol. Biochem.,2011,10.1271/bbb.110285,,Physiological and biochemical characterization of three nucleoside diphosphate kinase isozymes from rice (Oryza sativa L.).
21924254,1095-564X,Dev. Biol.,2011,10.1016/j.ydbio.2011.08.023,,An AT-hook gene is required for palea formation and floral organ number control in rice.
21961694,1746-4811,Plant Methods,2011,10.1186/1746-4811-7-30,PMC3203094,A highly efficient rice green tissue protoplast system for transient gene expression and studying light/chloroplast-related processes.
21969384,1532-2548,Plant Physiol.,2011,10.1104/pp.111.186031,PMC3327210,OsYSL6 is involved in the detoxification of excess manganese in rice.
21973088,1469-8137,New Phytol.,2012,10.1111/j.1469-8137.2011.03910.x,,"OsARF12, a transcription activator on auxin response gene, regulates root elongation and affects iron accumulation in rice (Oryza sativa)."
21976713,1752-9867,Mol Plant,2012,10.1093/mp/ssr084,,"OsGLU3, a putative membrane-bound endo-1,4-beta-glucanase, is required for root cell elongation and division in rice (Oryza sativa L.)."
22010949,1469-8137,New Phytol.,2012,10.1111/j.1469-8137.2011.03929.x,,Rice DUR3 mediates high-affinity urea transport and plays an effective role in improvement of urea acquisition and utilization when expressed in Arabidopsis.
22050533,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2011.04844.x,,Signal transduction by IRE1-mediated splicing of bZIP50 and other stress sensors in the endoplasmic reticulum stress response of rice.
22084314,1471-9053,Plant Cell Physiol.,2012,10.1093/pcp/pcr157,,"A rice transmembrane bZIP transcription factor, OsbZIP39, regulates the endoplasmic reticulum stress response."
22111585,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2011.04864.x,,The rice gene DEFECTIVE TAPETUM AND MEIOCYTES 1 (DTM1) is required for early tapetum development and meiosis.
22136599,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2011.04872.x,,"Aberrant spikelet and panicle1, encoding a TOPLESS-related transcriptional co-repressor, is involved in the regulation of meristem fate in rice."
22158700,1532-2548,Plant Physiol.,2012,10.1104/pp.111.191379,PMC3271775,A CCCH-type zinc finger nucleic acid-binding protein quantitatively confers resistance against rice bacterial blight disease.
22161313,1559-0305,Mol. Biotechnol.,2012,10.1007/s12033-011-9477-4,,"ENAC1, a NAC transcription factor, is an early and transient response regulator induced by abiotic stress in rice (Oryza sativa L.)."
22189955,1432-2048,Planta,2012,10.1007/s00425-011-1564-z,,bZIP transcription factor OsbZIP52/RISBZ5: a potential negative regulator of cold and drought stress response in rice.
22201023,1573-4978,Mol. Biol. Rep.,2012,10.1007/s11033-011-1399-5,,"Molecular cloning and characterization of OsUPS, a U-box containing E3 ligase gene that respond to phosphate starvation in rice (Oryza sativa)."
22228180,0219-1032,Mol. Cells,2012,10.1007/s10059-012-2165-9,PMC3887722,Activation of rice Yellow Stripe1-Like 16 (OsYSL16) enhances iron efficiency.
22353560,1744-7909,J Integr Plant Biol,2012,10.1111/j.1744-7909.2012.01094.x,,A mutation of OSOTP 51 leads to impairment of photosystem I complex assembly and serious photo-damage in rice.
22378946,1460-2431,J. Exp. Bot.,2012,10.1093/jxb/ers051,PMC3350935,Identification and evaluation of ω-3 fatty acid desaturase genes for hyperfortifying α-linolenic acid in transgenic rice seed.
22409537,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2012.04989.x,,Rice LGD1 containing RNA binding activity affects growth and development through alternative promoters.
22413771,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2012.04995.x,,The photoprotective protein PsbS exerts control over CO(2) assimilation rate in fluctuating light in rice.
22419106,1432-2242,Theor. Appl. Genet.,2012,10.1007/s00122-012-1840-8,,A novel gene IBF1 is required for the inhibition of brown pigment deposition in rice hull furrows.
22442415,1460-2431,J. Exp. Bot.,2012,10.1093/jxb/ers079,PMC3388842,The rice ERF transcription factor OsERF922 negatively regulates resistance to Magnaporthe oryzae and salt tolerance.
22451723,1460-2431,J. Exp. Bot.,2012,10.1093/jxb/ers098,PMC3398448,Modulation of ethylene responses by OsRTH1 overexpression reveals the biological significance of ethylene in rice seedling growth and development.
22548273,1365-3040,Plant Cell Environ.,2012,10.1111/j.1365-3040.2012.02527.x,,The OsHMA2 transporter is involved in root-to-shoot translocation of Zn and Cd in rice.
22616023,2041-2851,AoB Plants,2012,10.1093/aobpla/pls011,PMC3357053,Transcription factor OsHsfC1b regulates salt tolerance and development in Oryza sativa ssp. japonica.
22644768,1432-2048,Planta,2012,10.1007/s00425-012-1667-1,,"Molecular cloning and characterization of OsCHR4, a rice chromatin-remodeling factor required for early chloroplast development in adaxial mesophyll."
22665444,1532-2548,Plant Physiol.,2012,10.1104/pp.112.195529,PMC3425189,Brittle culm15 encodes a membrane-associated chitinase-like protein required for cellulose biosynthesis in rice.
22676236,1365-3040,Plant Cell Environ.,2013,10.1111/j.1365-3040.2012.02553.x,,Involvement of ASR genes in aluminium tolerance mechanisms in rice.
22747551,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2012.05091.x,,Rice MPR25 encodes a pentatricopeptide repeat protein and is essential for RNA editing of nad5 transcripts in mitochondria.
22788523,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2012.05106.x,,"Lack of the Golgi phosphate transporter PHT4;6 causes strong developmental defects, constitutively activated disease resistance mechanisms and altered intracellular phosphate compartmentation in Arabidopsis."
22829206,1573-5028,Plant Mol. Biol.,2012,10.1007/s11103-012-9945-7,,RNAi knockdown of rice SE5 gene is sensitive to the herbicide methyl viologen by the down-regulation of antioxidant defense.
22840326,1618-1328,J. Plant Physiol.,2012,10.1016/j.jplph.2012.06.010,,Hsp90 binds microtubules and is involved in the reorganization of the microtubular network in angiosperms.
22882529,1365-313X,Plant J.,2012,10.1111/j.1365-313X.2012.05121.x,,The putative auxin efflux carrier OsPIN3t is involved in the drought stress response and drought tolerance.
22882555,missing-issn,,,,,
22902685,1559-2324,Plant Signal Behav,2012,10.4161/psb.21662,PMC3493409,The rice ASR5 protein: a putative role in the response to aluminum photosynthesis disturbance.
22921006,1873-2259,Plant Sci.,2012,10.1016/j.plantsci.2012.06.006,,Overexpression of OsTLP27 in rice improves chloroplast function and photochemical efficiency.
22956125,1432-2048,Planta,2013,10.1007/s00425-012-1736-5,,SUI-family genes encode phosphatidylserine synthases and regulate stem development in rice.
22984070,1095-9203,Science,2012,10.1126/science.1223702,,A killer-protector system regulates both hybrid sterility and segregation distortion in rice.
22990444,1559-2324,Plant Signal Behav,2012,10.4161/psb.22086,PMC3548864,Intracellular localization and physiological function of a rice Ca²⁺-permeable channel OsTPC1.
23053539,1432-2048,Planta,2013,10.1007/s00425-012-1756-1,,"Young Leaf Chlorosis 1, a chloroplast-localized gene required for chlorophyll and lutein accumulation during early leaf development in rice."
23061987,1438-8677,Plant Biol (Stuttg),2013,10.1111/j.1438-8677.2012.00664.x,,A salicylic acid-induced rice (Oryza sativa L.) transcription factor OsWRKY77 is involved in disease resistance of Arabidopsis thaliana.
23083684,1618-1328,J. Plant Physiol.,2013,10.1016/j.jplph.2012.08.019,,"Overexpression of OrbHLH001, a putative helix-loop-helix transcription factor, causes increased expression of AKT1 and maintains ionic balance under salt stress in rice."
23122787,1618-1328,J. Plant Physiol.,2013,10.1016/j.jplph.2012.09.007,,"Differential subcellular localization, enzymatic properties and expression patterns of γ-aminobutyric acid transaminases (GABA-Ts) in rice (Oryza sativa)."
23192363,1432-203X,Plant Cell Rep.,2013,10.1007/s00299-012-1372-3,,Accumulation of rice prolamin-GFP fusion proteins induces ER-derived protein bodies in transgenic rice calli.
23220939,1752-9867,Mol Plant,2013,10.1093/mp/sss145,,The role of OsMSH5 in crossover formation during rice meiosis.
23233223,1869-1889,Sci China Life Sci,2012,10.1007/s11427-012-4414-8,,"Overexpression of OsDPR, a novel rice gene highly expressed under iron deficiency, suppresses plant growth."
23263792,1532-2548,Plant Physiol.,2013,10.1104/pp.112.210948,PMC3561011,Rice glycosyltransferase1 encodes a glycosyltransferase essential for pollen wall formation.
23296688,1532-2548,Plant Physiol.,2013,10.1104/pp.112.205385,PMC3585590,"OsTZF1, a CCCH-tandem zinc finger protein, confers delayed senescence and stress tolerance in rice by regulating stress-related genes."
23462973,1573-5028,Plant Mol. Biol.,2013,10.1007/s11103-013-0032-5,,"OsWRKY28, a PAMP-responsive transrepressor, negatively regulates innate immune responses in rice against rice blast fungus."
23485991,1422-0067,Int J Mol Sci,2013,10.3390/ijms14035899,PMC3634459,"A Rice Immunophilin Gene, OsFKBP16-3, Confers Tolerance to Environmental Stress in Arabidopsis and Rice."
23602899,1090-2104,Biochem. Biophys. Res. Commun.,2013,10.1016/j.bbrc.2013.04.014,,Rice Rab11 is required for JA-mediated defense signaling.
23620301,0219-1032,Mol. Cells,2013,10.1007/s10059-013-2337-2,PMC3887859,"OsCpn60α1, encoding the plastid chaperonin 60α subunit, is essential for folding of rbcL."
23629832,1532-2548,Plant Physiol.,2013,10.1104/pp.113.216044,PMC3668076,"MULTI-FLORET SPIKELET1, which encodes an AP2/ERF protein, determines spikelet meristem fate and sterile lemma identity in rice."
23698632,1460-2431,J. Exp. Bot.,2013,10.1093/jxb/ert143,PMC3741691,"The rice RING finger E3 ligase, OsHCI1, drives nuclear export of multiple substrate proteins and its heterogeneous overexpression enhances acquired thermotolerance."
